zona,quartos,area,preco
norte,1.0,70.0,600
norte,2.0,70.0,850
norte,1.0,40.0,850
norte,1.0,50.0,950
norte,1.0,160.0,790
norte,5.0,150.0,2000
norte,1.0,30.0,690
norte,1.0,50.0,820
norte,1.0,40.0,800
norte,,318.0,8000
norte,,30.0,770
norte,2.0,42.0,1100
norte,2.0,50.0,1700
norte,1.0,30.0,550
norte,2.0,45.0,950
norte,3.0,90.0,2400
norte,1.0,40.0,1000
norte,1.0,30.0,1300
norte,3.0,240.0,1800
norte,1.0,30.0,500
norte,1.0,20.0,650
norte,1.0,50.0,1100
norte,1.0,50.0,750
norte,4.0,315.0,9700
norte,4.0,340.0,4500
norte,3.0,240.0,5500
norte,2.0,90.0,1800
norte,1.0,40.0,700
norte,1.0,40.0,1100
norte,1.0,20.0,600
norte,2.0,150.0,2400
norte,1.0,25.0,450
norte,3.0,351.0,4500
norte,2.0,90.0,1600
norte,,150.0,3200
norte,2.0,40.0,1408
norte,4.0,409.0,3500
norte,4.0,400.0,13000
norte,3.0,150.0,3250
norte,3.0,180.0,2000
norte,3.0,120.0,2500
norte,4.0,400.0,5000
norte,2.0,54.0,1300
norte,1.0,30.0,700
norte,2.0,54.0,1300
norte,3.0,180.0,2900
norte,1.0,40.0,500
norte,3.0,140.0,1800
norte,3.0,220.0,4500
norte,2.0,60.0,1200
norte,2.0,90.0,1800
norte,5.0,200.0,2500
norte,4.0,350.0,5000
norte,1.0,45.0,1100
norte,3.0,96.0,2200
norte,3.0,195.0,3500
norte,2.0,70.0,900
norte,3.0,90.0,2600
norte,3.0,100.0,2700
norte,1.0,40.0,1000
norte,3.0,140.0,3000
norte,1.0,90.0,1350
norte,4.0,180.0,2700
norte,2.0,110.0,2500
norte,3.0,200.0,3600
norte,3.0,250.0,5000
norte,2.0,90.0,1600
norte,2.0,90.0,2200
norte,2.0,197.0,2400
norte,3.0,162.0,3000
norte,4.0,195.0,2200
norte,2.0,90.0,1800
norte,3.0,215.0,5000
norte,3.0,96.0,2200
norte,6.0,220.0,4000
norte,5.0,350.0,4300
norte,2.0,130.0,2300
norte,3.0,224.0,4000
norte,4.0,200.0,3400
norte,3.0,366.0,3500
norte,4.0,200.0,2800
norte,4.0,330.0,7250
norte,2.0,90.0,1800
norte,3.0,180.0,2850
norte,,40.0,2500
norte,2.0,90.0,1800
norte,4.0,180.0,2500
norte,3.0,250.0,3200
norte,2.0,30.0,1100
norte,1.0,80.0,900
norte,2.0,110.0,2000
norte,1.0,50.0,850
norte,2.0,60.0,1300
norte,1.0,40.0,750
norte,2.0,45.0,1300
norte,2.0,90.0,1400
norte,3.0,500.0,25000
norte,2.0,110.0,1800
norte,2.0,110.0,1800
norte,2.0,80.0,1500
norte,3.0,150.0,2000
norte,1.0,35.0,1100
norte,3.0,182.0,5800
norte,3.0,150.0,3500
norte,3.0,150.0,3500
norte,1.0,40.0,800
norte,3.0,180.0,1800
norte,2.0,100.0,1300
norte,3.0,115.0,3200
norte,1.0,55.0,1200
norte,2.0,120.0,3000
norte,1.0,30.0,600
norte,,120.0,3000
norte,4.0,336.0,4900
norte,5.0,248.0,7900
norte,2.0,80.0,1800
norte,2.0,80.0,1900
norte,3.0,90.0,2000
norte,2.0,70.0,1400
norte,2.0,70.0,1400
norte,3.0,200.0,1800
norte,1.0,30.0,850
